,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,Artist
30,511.5,516.9,21710.8,344.6,339.2,506.2,21549.2,21883.1,172.3,333.8,21705.4,350.0,21888.5,166.9,678.5,1518.5,355.4,1540.0,1523.8,21893.8,161.5,683.8,490.0,21726.9,328.5,360.8,21694.6,500.8,1513.1,689.2,366.2,495.4,21560.0,21204.6,850.8,936.9,522.3,371.5,673.1,20520.8,1534.6,527.7,21527.7,1529.2,177.7,624.6,306.9,156.2,3397.7,18657.7,861.5,21193.8,3386.9,18668.5,21592.3,463.1,20547.7,1507.7,21759.2,296.2,20370.0,1685.4,21183.1,872.3,866.9,20348.5,1706.9,2
120,393.1,387.7,21667.7,382.3,188.5,86.2,263.8,592.3,183.1,398.5,177.7,129.2,21468.5,586.9,581.5,258.5,1755.4,20300.0,193.8,1760.8,371.5,1960.0,20095.4,199.2,786.2,21651.5,403.8,172.3,91.5,21753.8,301.5,1954.6,204.6,694.6,527.7,21527.7,20289.2,1766.2,21533.1,522.3,780.8,21274.6,1965.4,700.0,597.7,20106.2,1949.2,1750.0,20305.4,366.2,20493.8,1561.5,134.6,21920.8,1739.2,20321.5,1733.8,306.9,20876.2,1179.2,22012.3,409.2,19702.3,2353.1,21980.0,2347.7,1173.8,7
39,215.4,210.0,188.5,204.6,193.8,156.2,414.6,2363.8,635.4,102.3,21953.1,624.6,2288.5,640.8,21414.6,425.4,646.2,21409.2,651.5,21403.8,220.8,19664.6,2390.8,21807.7,247.7,2336.9,2326.2,2369.2,19686.2,430.8,21624.6,2380.0,2428.5,242.3,19610.8,2444.6,2460.8,613.8,2277.7,420.0,2320.8,382.3,570.8,2347.7,199.2,2412.3,2886.2,19169.2,2342.3,19713.1,183.1,2406.9,2261.5,19793.8,19702.3,2353.1,603.1,2229.2,2977.7,495.4,592.3,19653.8,2401.5,102.3,102.3,102.3,102.3,3
32,468.5,242.3,479.2,21576.2,463.1,1394.6,247.7,226.2,20655.4,1400.0,452.3,21823.8,231.5,473.8,931.5,1421.5,1426.9,20628.5,926.2,436.2,236.9,1583.1,253.1,21802.3,1163.1,409.2,441.5,21613.8,20466.9,1588.5,716.2,780.8,306.9,20639.2,1416.2,446.9,20886.9,1168.5,1631.5,301.5,20456.2,1599.2,156.2,21899.2,1604.6,21344.6,710.8,204.6,393.1,21662.3,1863.1,1410.8,21570.8,484.6,220.8,387.7,1383.8,20671.5,21904.6,150.8,199.2,21856.2,355.4,215.4,20440.0,1615.4,21350.0,2
73,129.2,134.6,140.0,123.8,21958.5,96.9,80.8,21963.8,91.5,86.2,21861.5,193.8,199.2,382.3,118.5,145.4,21910.0,387.7,253.1,113.1,21996.2,231.5,177.7,21877.7,210.0,258.5,172.3,21678.5,376.9,204.6,21807.7,247.7,166.9,161.5,242.3,236.9,156.2,263.8,700.0,21651.5,403.8,220.8,366.2,107.7,468.5,21226.2,829.2,856.2,430.8,21624.6,705.4,317.7,21737.7,371.5,215.4,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,5
65,393.1,350.0,129.2,290.8,296.2,21667.7,387.7,118.5,344.6,339.2,21931.5,123.8,780.8,786.2,140.0,280.0,877.7,328.5,21726.9,382.3,134.6,274.6,263.8,193.8,21861.5,258.5,398.5,586.9,145.4,199.2,355.4,102.3,188.5,21850.8,204.6,21748.5,306.9,161.5,409.2,150.8,113.1,1572.3,21947.7,107.7,21743.1,312.3,317.7,21721.5,333.8,371.5,269.2,2358.5,19696.9,323.1,366.2,91.5,1464.6,775.4,414.6,403.8,91.5,91.5,91.5,91.5,91.5,91.5,91.5,4
52,21834.6,220.8,446.9,177.7,183.1,21872.3,215.4,193.8,21829.2,226.2,452.3,21856.2,199.2,21823.8,231.5,172.3,96.9,210.0,21845.4,673.1,21624.6,430.8,21613.8,441.5,204.6,2024.6,20025.4,2030.0,457.7,21888.5,166.9,678.5,21667.7,387.7,662.3,21818.5,236.9,667.7,21387.7,188.5,398.5,21656.9,656.9,21398.5,651.5,2035.4,20020.0,2003.1,20052.3,21371.5,683.8,592.3,21463.1,420.0,533.1,242.3,161.5,2040.8,21414.6,640.8,538.5,21516.9,576.2,21479.2,21409.2,646.2,360.8,3
91,21883.1,172.3,861.5,215.4,166.9,21888.5,2606.2,19449.2,21899.2,156.2,2595.4,269.2,19476.2,2579.2,177.7,866.9,2552.3,2643.8,646.2,21872.3,183.1,3300.8,3941.5,2703.1,113.1,21893.8,161.5,3860.8,20768.5,1286.9,1276.2,360.8,188.5,2590.0,3930.8,18124.6,3225.4,506.2,495.4,21560.0,1297.7,3790.8,3311.5,3801.5,21850.8,204.6,21576.2,479.2,2627.7,3796.2,18259.2,19470.8,2584.6,3898.5,18156.9,263.8,21791.5,2536.2,19519.2,3726.2,18329.2,2563.1,210.0,490.0,21565.4,18873.1,3182.3,6
45,188.5,199.2,193.8,603.1,204.6,21468.5,586.9,576.2,21312.3,743.1,737.7,554.6,560.0,21872.3,183.1,96.9,597.7,608.5,1179.2,592.3,21463.1,791.5,20886.9,1168.5,570.8,387.7,1190.0,624.6,759.2,1195.4,21683.8,371.5,21840.0,215.4,1157.7,20838.5,1216.9,549.2,21506.2,220.8,565.4,732.3,1211.5,21473.8,581.5,630.0,775.4,613.8,21441.5,1109.2,20946.2,1238.5,403.8,1206.2,20924.6,1130.8,21436.2,619.2,1330.0,231.5,210.0,21064.6,990.8,1103.8,226.2,96.9,96.9,3
58,21516.9,538.5,533.1,21533.1,522.3,166.9,21883.1,172.3,21511.5,543.8,716.2,344.6,700.0,355.4,683.8,721.5,705.4,183.1,506.2,21549.2,21376.9,678.5,673.1,21877.7,177.7,726.9,689.2,549.2,667.7,20790.0,1265.4,360.8,339.2,1227.7,20827.7,1260.0,694.6,1243.8,1270.8,20838.5,1216.9,516.9,21538.5,511.5,21344.6,710.8,20816.9,1238.5,20870.8,1184.6,527.7,1190.0,366.2,161.5,1050.0,500.8,328.5,662.3,20876.2,1179.2,20800.8,1254.6,737.7,1028.5,1281.5,21183.1,161.5,4
