,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,Artist
0,0.069659864,0.394739229,0.719818594,1.207437642,1.64861678,1.95047619,2.275555556,2.554195011,3.041814059,3.64553288,4.109931973,4.388571429,4.690430839,4.992290249,5.29414966,5.619229025,5.921088435,6.199727891,6.501587302,6.826666667,7.105306122,7.430385488,7.732244898,8.057324263,8.544943311,8.986122449,9.287981859,9.729160998,10.17034014,4.083657535,4.194026658,4.307378729,4.423794371,4.543356381,4.666149797,4.792261953,2
1,0.069659864,0.487619048,0.743038549,1.114557823,1.439637188,1.741496599,2.229115646,2.484535147,3.227573696,3.599092971,3.94739229,4.202811791,4.458231293,4.713650794,4.969070295,5.456689342,5.712108844,6.199727891,6.455147392,6.710566893,7.035646259,7.430385488,7.685804989,7.94122449,8.428843537,8.684263039,9.032562358,9.427301587,9.93814059,4.123402586,4.234845899,4.349301194,4.466849875,4.587575547,4.711564075,4.838903645,7
2,0.069659864,0.441179138,0.859138322,1.439637188,1.741496599,2.136235828,2.507755102,2.879274376,3.227573696,3.738412698,3.9938322,4.435011338,4.736870748,5.108390023,5.503129252,5.851428571,6.222947846,6.803446712,7.360725624,7.616145125,7.89478458,8.28952381,8.637823129,9.032562358,9.380861678,9.682721088,9.961360544,10.35609977,10.70439909,4.421957468,4.541469832,4.66421226,4.79027205,4.919738863,5.052704778,5.189264366,3
3,0.069659864,1.253877551,1.857596372,2.136235828,2.623854875,3.366893424,3.64553288,3.970612245,4.249251701,4.551111111,4.829750567,5.758548753,6.083628118,6.664126984,6.965986395,7.569705215,9.055782313,9.357641723,9.984580499,2.594442606,2.664562676,2.736577884,2.810539448,2.886499974,2.964513487,3.044635473,3.126922918,3.211434348,3.298229871,3.387371219,3.478921792,3.572946706,3.669512833,3.768688855,3.870545311,3.975154644,2
4,0.069659864,0.325079365,0.65015873,0.952018141,1.277097506,1.602176871,1.904036281,2.229115646,2.530975057,2.879274376,3.157913832,3.482993197,3.808072562,4.109931973,4.435011338,4.736870748,5.061950113,5.363809524,5.688888889,5.990748299,6.315827664,6.640907029,6.94276644,7.267845805,7.569705215,7.89478458,8.219863946,8.521723356,8.846802721,9.125442177,9.473741497,9.775600907,10.10068027,10.42575964,4.929114421,5.062333729,5
5,0.069659864,0.417959184,0.928798186,1.369977324,1.718276644,2.205895692,2.64707483,2.902494331,3.181133787,3.482993197,4.040272109,4.29569161,4.806530612,5.247709751,5.572789116,5.921088435,6.2461678,6.571247166,6.873106576,7.383945578,7.871564626,8.150204082,8.452063492,8.800362812,9.171882086,9.450521542,9.752380952,10.10068027,4.09817491,4.208936394,4.322691431,4.439520929,4.559507982,4.682737927,4.809298412,4.93927945,4
6,0.069659864,0.441179138,0.719818594,1.021678005,1.323537415,1.671836735,1.95047619,2.29877551,2.577414966,2.902494331,3.204353741,3.482993197,3.94739229,4.272471655,4.574331066,4.876190476,5.178049887,5.479909297,5.804988662,6.106848073,6.408707483,6.733786848,7.058866213,7.360725624,7.639365079,7.964444444,8.266303855,8.544943311,8.870022676,9.171882086,9.496961451,9.775600907,10.07746032,4.656039713,4.781878624,4.911118587,3
7,0.34829932,0.603718821,1.044897959,1.486077098,1.741496599,2.205895692,2.64707483,2.972154195,3.343673469,3.784852608,4.249251701,4.713650794,5.154829932,5.619229025,5.874648526,6.269387755,6.617687075,7.058866213,7.314285714,7.755464853,8.266303855,8.614603175,8.962902494,9.473741497,9.89170068,10.35609977,3.847859288,3.951855485,4.05866239,4.168355968,4.281014237,4.396717325,4.515547523,4.637589348,4.7629296,4.891657427,6
8,0.069659864,0.371519274,0.65015873,0.975238095,1.277097506,1.578956916,1.880816327,2.182675737,2.484535147,2.809614512,3.111473923,3.413333333,3.738412698,4.040272109,4.342131519,4.64399093,4.969070295,5.270929705,5.572789116,5.874648526,6.176507937,6.478367347,6.780226757,7.082086168,7.407165533,7.709024943,8.010884354,8.312743764,8.614603175,8.916462585,9.218321995,9.520181406,9.822040816,10.12390023,4.768374088,4.897249064,3
9,0.069659864,0.557278912,1.091337868,1.578956916,1.95047619,2.29877551,2.600634921,3.088253968,3.413333333,3.854512472,4.109931973,4.852970522,5.131609977,5.64244898,5.990748299,6.408707483,6.664126984,7.174965986,7.523265306,7.918004535,8.196643991,8.521723356,8.962902494,9.218321995,9.729160998,10.24,3.805101428,3.907942007,4.013562061,4.122036712,4.233443109,4.347860491,4.465370234,4.586055916,4.710003373,4.837300761,4
10,0.185759637,0.557278912,0.928798186,1.555736961,1.973696145,2.368435374,2.623854875,3.181133787,3.482993197,3.924172336,4.435011338,4.713650794,5.108390023,5.503129252,5.874648526,6.478367347,6.733786848,7.29106576,7.709024943,8.103764172,8.382403628,8.800362812,9.171882086,9.752380952,10.05424036,10.56507937,3.931325611,4.037577655,4.146701375,4.258774385,4.373876396,4.492089271,4.61349709,4.7381862,4.866245287,4.997765429,6
